Time	 A+B=Sum Cout
                3200ns	 500+600=1100 Cout:1
                6400ns	 999+002=1001 Cout:1
                9600ns	 099+099=0198 Cout:0
               12800ns	 095+005=0100 Cout:0
               16000ns	 098+003=0101 Cout:0
               19200ns	 099+009=0108 Cout:0
               22400ns	 089+011=0100 Cout:0
               25600ns	 499+501=1000 Cout:1
               28800ns	 123+877=1000 Cout:1
               32000ns	 999+001=1000 Cout:1
               35200ns	 999+000=0999 Cout:0
               38400ns	 000+000=0000 Cout:0
               41600ns	 999+999=1998 Cout:1
               44800ns	 050+050=0100 Cout:0
