Time	 A+B=Sum Cout
                 300ns	 001+002=0003 Cout:0
                 600ns	 050+050=0100 Cout:0
                 900ns	 099+001=0100 Cout:0
                1200ns	 123+321=0444 Cout:0
                1500ns	 800+150=0950 Cout:0
                1800ns	 500+500=1000 Cout:1
                2100ns	 987+012=0999 Cout:0
                2400ns	 999+001=1000 Cout:1
                2700ns	 100+900=1000 Cout:1
                3000ns	 234+876=1110 Cout:1
                3300ns	 000+000=0000 Cout:0
                3600ns	 001+999=1000 Cout:1
                3900ns	 222+333=0555 Cout:0
                4200ns	 090+090=0180 Cout:0
                4500ns	 999+999=1998 Cout:1
